transaction_id,date,amount,currency,transaction_type,description
86492337,2021-08-01,250.5,USD,debit,Paid monthly rent for apartment in New York City.
82782780,2022-02-14,50.0,EUR,debit,Bought a souvenir for a friend during a trip to Paris.
81861773,2023-01-05,1000.0,GBP,transfer,Sent money to a family member in the UK for holiday expenses.
46881945,2021-11-20,120.0,USD,credit,Bought groceries for the week from a local supermarket.
22031755,2022-06-15,75.0,CAD,debit,Withdrew cash for a weekend camping trip in Canada.
23494374,2023-09-22,300.0,JPY,transfer,Sent money to a friend in Japan for a birthday gift.
32513708,2021-02-18,150.0,USD,debit,Paid utility bills for a house in Texas.
65492428,2022-07-03,100.0,USD,debit,Bought a new pair of running shoes.
70958305,2023-12-28,200.0,USD,transfer,Sent money to a friend for holiday gifts.
99557011,2021-06-10,80.0,USD,debit,Paid for a haircut and styling session.
94473946,2022-11-27,150.0,USD,debit,Bought tickets for a football game in Seattle.
43949381,2023-04-15,120.0,USD,transfer,Sent money to a friend in New York for a birthday gift.
14818853,2022-04-15,125.78,USD,credit,Received salary payment from employer.
80157141,2023-03-01,1000.0,EUR,transfer,Sent monthly rent payment to landlord.
49840331,2021-12-28,50.25,GBP,debit,Purchased Christmas gifts for family.
83297667,2022-01-03,200.0,JPY,credit,Received transfer from family in Japan.
87362864,2021-06-15,35.99,USD,debit,Bought lunch for colleagues.
44491138,2023-02-27,750.0,USD,transfer,Sent money to friend for group trip expenses.
75439054,2022-05-01,150.0,USD,credit,Deposited tax refund into account.
77764312,2023-04-10,2000.0,EUR,transfer,Sent money to parents for home repairs.
27832736,2021-11-15,80.0,GBP,debit,Paid for groceries and household supplies.
89138105,2022-02-12,100.0,JPY,credit,Received transfer from friend for loan repayment.
31296251,2021-07-01,60.0,USD,debit,Bought coffee and snacks.
68031510,2023-03-05,500.0,USD,transfer,Sent money to sister for wedding expenses.
32357680,2022-06-15,250.0,USD,credit,Deposited bonus from work.
94517420,2023-05-01,1500.0,EUR,transfer,Sent money to cousin for medical expenses.
80546786,2021-12-30,100.0,GBP,debit,Paid for last-minute holiday shopping.
84516367,2022-03-20,150.0,JPY,credit,Received transfer from friend for dinner.
29259915,2021-08-01,70.0,USD,debit,Bought tickets for a movie.
26965238,2023-04-25,600.0,USD,transfer,Sent money to friend for group travel expenses.
77981564,2022-07-01,300.0,USD,credit,Deposited pay raise into account.
36907457,2023-06-01,2000.0,EUR,transfer,Sent money to brother for car repairs.
52864475,2021-11-20,90.0,GBP,debit,Paid for gym membership.
46629610,2022-04-01,100.0,JPY,credit,Received transfer from friend for loan repayment.
45139003,2021-09-01,40.0,USD,debit,Bought lunch for self.
80337328,2023-05-15,700.0,USD,transfer,Sent money to friend for wedding gift.
13396962,2022-08-15,400.0,USD,credit,Deposited dividend payment.
76101631,2023-07-01,1000.0,EUR,transfer,Sent money to parents for vacation expenses.
99746083,2021-12-20,120.0,GBP,debit,Paid for holiday meals.
31204066,2022-05-01,150.0,JPY,credit,Received transfer from friend for loan repayment.
28631872,2021-10-01,50.0,USD,debit,Bought books for research.
30099493,2023-06-15,800.0,USD,transfer,Sent money to friend for group trip expenses.
29273123,2022-03-15,56.78,USD,debit,Groceries purchase at local supermarket.
41113574,2023-07-01,25.99,GBP,transfer,Transfer to UK account for summer vacation expenses.
64800590,2022-02-12,87.65,USD,debit,Fuel purchase for personal vehicle.
92890471,2023-01-05,102.34,USD,transfer,Transfer to US account for rent payment.
57109770,2022-06-15,23.56,USD,debit,Purchase of groceries at local market
11318062,2023-02-27,120.98,EUR,transfer,Transfer from savings to checking account
19665912,2021-10-08,54.32,USD,credit,Direct deposit of paycheck
76225849,2022-01-12,78.15,CAD,debit,Withdrawal for gas station fill-up
27031227,2021-12-24,200.0,USD,transfer,Transfer of holiday gift money to sibling
72560275,2023-04-01,150.0,GBP,debit,Payment for online course registration
90181240,2022-08-15,120.0,USD,debit,Payment for gym membership
48838522,2023-01-02,80.0,MXN,transfer,Transfer from US checking to Mexican account
50648472,2021-09-20,100.0,USD,transfer,Transfer of funds to savings account
81713270,2022-11-17,150.0,USD,credit,Deposit of tax refund
51210098,2023-07-05,60.0,USD,debit,Payment for utility bill
57429381,2021-12-31,200.0,USD,transfer,Transfer of holiday bonus to checking account
94295769,2023-03-12,100.0,USD,credit,Direct deposit of paycheck
22252888,2022-04-01,75.0,USD,debit,Withdrawal for lunch with friends
64548210,2021-02-28,150.0,USD,transfer,Transfer of funds to savings account
41603145,2023-06-15,80.0,USD,credit,Deposit of rental income
85482090,2022-10-08,120.0,USD,debit,Payment for medical bill
33300411,2023-01-02,200.0,USD,transfer,Transfer of funds to checking account
42276102,2021-07-05,60.0,USD,credit,Deposit of tax refund
61466964,2022-11-17,150.0,USD,debit,Payment for utility bill
97064838,2023-07-05,200.0,USD,credit,Deposit of holiday bonus
41599657,2022-01-12,78.15,CAD,debit,Withdrawal for gas station fill-up
12146582,2021-12-24,200.0,USD,transfer,Transfer of holiday gift money to sibling
10812286,2023-04-01,150.0,GBP,debit,Payment for online course registration
62149689,2022-08-15,120.0,USD,debit,Payment for gym membership
68158368,2023-01-02,80.0,MXN,transfer,Transfer from US checking to Mexican account
23210708,2021-09-20,100.0,USD,transfer,Transfer of funds to savings account
65698731,2022-11-17,150.0,USD,credit,Deposit of tax refund
48739752,2023-07-05,60.0,USD,debit,Payment for utility bill
24462690,2023-04-15,125.78,EUR,debit,Groceries purchased at local market in Barcelona.
77886122,2022-12-12,100.0,GBP,transfer,Transfer of funds to family member in London.
90236688,2021-02-25,150.0,CAD,debit,Dinner reservation at Toronto restaurant.
37668041,2023-11-14,345.67,EUR,debit,Groceries purchased at local market in Paris.
86862263,2022-10-20,110.0,USD,transfer,Transfer of funds to friend in Chicago.
44825695,2023-03-03,45.0,USD,debit,Coffee purchase at local café in San Francisco.
84088159,2023-08-18,250.0,USD,debit,Rent payment for apartment in New York.
34094853,2022-11-25,100.0,USD,transfer,Transfer of funds to family member in Boston.
21632785,2023-06-05,30.0,USD,debit,Lunch purchase at local deli in New York.
51863459,2023-02-17,200.0,USD,debit,Flight ticket purchase for trip to Las Vegas.
60604563,2022-10-08,60.0,USD,transfer,Transfer of funds to friend in Seattle.
46667835,2023-04-20,180.0,USD,debit,Car repair expenses in San Francisco.
13531985,2023-09-09,40.0,USD,debit,Coffee purchase at local café in San Francisco.
46191613,2021-11-20,120.0,USD,transfer,Transfer of funds to family member in Miami.
38348845,2023-05-15,80.0,USD,debit,Groceries purchased at local store in Chicago.
58661933,2021-04-03,200.0,USD,debit,Dinner reservation at fancy restaurant in Los Angeles.
77127064,2022-03-15,123.45,USD,credit,Deposited paycheck from work.
71454690,2023-01-02,500.0,EUR,transfer,Transferred funds to partner's account in Germany.
59291528,2021-12-28,20.99,USD,debit,Purchased groceries from local supermarket.
84009234,2022-06-06,150.0,USD,credit,Received tax refund.
34362574,2023-09-14,350.0,GBP,transfer,Transferred funds to friend's account in the UK.
63193851,2021-07-19,75.5,USD,debit,Withdrew cash for vacation.
26417231,2022-11-27,100.0,USD,credit,Deposited freelance payment.
37050724,2023-04-05,400.0,USD,transfer,Transferred funds to parent's account.
96743767,2021-10-13,60.0,USD,debit,Paid rent.
47699658,2022-02-22,250.0,USD,credit,Deposited bonus from work.
11527862,2023-08-16,1000.0,USD,transfer,Transferred funds to business account.
29771452,2021-02-01,15.99,USD,debit,Bought coffee.
91849362,2022-06-28,50.0,USD,credit,Received refund from returned item.
60860353,2023-01-10,800.0,USD,transfer,Transferred funds to savings account.
17228647,2021-08-03,30.0,USD,debit,Bought lunch.
68965463,2022-09-25,400.0,USD,credit,Deposited freelance income.
66293942,2023-05-12,65.0,USD,transfer,Transferred funds to sibling's account.
14917675,2021-11-17,10.0,USD,debit,Bought books.
23414292,2022-07-09,200.0,USD,credit,Deposited paycheck.
92901315,2023-10-24,70.0,USD,transfer,Transferred funds to friend's account.
84271449,2021-04-15,50.0,USD,debit,Bought tickets to concert.
38574924,2022-12-22,300.0,USD,credit,Received inheritance.
80014463,2023-02-05,120.0,USD,transfer,Transferred funds to spouse's account.
54270611,2021-06-27,45.0,USD,debit,Bought movie tickets.
50124938,2022-11-14,150.0,USD,credit,Deposited freelance income.
11009238,2023-07-26,200.0,USD,transfer,Transferred funds to savings account.
29644624,2021-09-01,80.0,USD,debit,Bought groceries.
10759154,2022-12-18,350.0,USD,credit,Deposited paycheck.
59692390,2023-06-01,100.0,USD,transfer,Transferred funds to parent's account.
18898368,2021-01-02,123.45,USD,debit,Purchase of groceries from local supermarket.
87699955,2022-06-15,250.0,EUR,debit,"Payment for rent in Berlin, Germany."
45945869,2023-04-07,100.5,USD,transfer,Transfer of funds to savings account.
67398822,2021-09-10,50.0,GBP,debit,"Withdrawal of cash from ATM in London, UK."
13608381,2023-01-03,150.0,CAD,debit,"Payment for mobile phone bill in Toronto, Canada."
29745441,2022-07-18,200.0,USD,transfer,Transfer of funds to checking account.
10210683,2021-03-24,100.0,JPY,debit,"Withdrawal of cash from ATM in Tokyo, Japan."
44055104,2023-05-09,150.0,USD,debit,Payment for gym membership.
85269244,2022-11-11,200.0,USD,debit,Payment for car insurance premium.
41815359,2021-07-16,100.0,USD,transfer,Transfer of funds to savings account.
42401049,2023-02-05,250.0,USD,debit,Payment for utility bill.
67361869,2022-08-20,150.0,USD,debit,Withdrawal of cash from ATM.
96105350,2021-10-01,50.0,USD,transfer,Transfer of funds to checking account.
88972093,2023-06-14,300.0,USD,debit,Payment for airline ticket.
70784858,2022-12-28,200.0,USD,debit,Payment for health insurance premium.
44269397,2021-08-03,100.0,USD,transfer,Transfer of funds to savings account.
96247379,2023-03-10,250.0,USD,debit,Payment for rent.
44530826,2022-09-05,150.0,USD,debit,Withdrawal of cash from ATM.
76042254,2021-12-15,50.0,USD,transfer,Transfer of funds to checking account.
79621916,2023-07-01,300.0,USD,debit,Payment for online course.
78888482,2022-11-25,200.0,USD,debit,Payment for grocery delivery.
63372793,2021-09-07,100.0,USD,transfer,Transfer of funds to savings account.
66198103,2023-04-01,250.0,USD,debit,Payment for internet bill.
13854415,2022-10-12,150.0,USD,debit,Withdrawal of cash from ATM.
30209328,2021-11-20,50.0,USD,transfer,Transfer of funds to checking account.
85353160,2023-06-03,120.0,USD,debit,Payment for movie tickets.
64502364,2022-12-31,200.0,USD,debit,Payment for gym membership.
32106710,2021-08-15,100.0,USD,transfer,Transfer of funds to savings account.
17191098,2022-06-15,150.5,USD,credit,Deposit of monthly salary from TechCorp Inc.
78578838,2022-06-18,200.0,EUR,debit,Withdrawal for groceries at local market.
42810105,2022-06-21,1250.0,USD,transfer,Transfer to sister's account for her wedding expenses.
97089687,2022-06-23,300.0,JPY,credit,Deposit of travel allowance from work.
64700757,2022-06-25,500.0,GBP,debit,Withdrawal for rent payment.
16382211,2022-06-27,1000.0,USD,transfer,Transfer to parents' account for their medical bills.
61309906,2022-06-29,250.0,CAD,credit,Deposit of bonus from work.
60008875,2022-07-01,400.0,USD,debit,Withdrawal for car maintenance.
54123305,2022-07-03,600.0,USD,transfer,Transfer to friend's account for concert tickets.
71662142,2022-07-05,1500.0,USD,credit,Deposit of freelance project payment.
40735187,2022-07-07,100.0,USD,debit,Withdrawal for coffee.
46056228,2022-07-09,800.0,USD,transfer,Transfer to brother's account for birthday gift.
98805881,2022-07-11,500.0,USD,credit,Deposit of side hustle earnings.
65900815,2022-07-13,300.0,USD,debit,Withdrawal for clothing.
47034252,2022-07-15,700.0,USD,transfer,Transfer to partner's account for joint expenses.
13915420,2022-07-17,200.0,USD,credit,Deposit of freelance project payment.
53060370,2022-07-19,100.0,USD,debit,Withdrawal for lunch.
56549473,2022-07-21,600.0,USD,transfer,Transfer to sister's account for her wedding expenses.
95350659,2022-07-23,150.0,USD,credit,Deposit of monthly salary from TechCorp Inc.
71809527,2022-07-25,250.0,USD,debit,Withdrawal for groceries at local market.
52435069,2022-07-27,1250.0,USD,transfer,Transfer to friend's account for their birthday gift.
42793188,2022-07-29,300.0,USD,credit,Deposit of travel allowance from work.
90896816,2022-07-31,500.0,USD,debit,Withdrawal for rent payment.
43511154,2022-08-02,1000.0,USD,transfer,Transfer to parents' account for their medical bills.
19971124,2022-08-04,250.0,USD,credit,Deposit of bonus from work.
48741099,2022-08-06,400.0,USD,debit,Withdrawal for car maintenance.
10759950,2022-08-08,600.0,USD,transfer,Transfer to friend's account for concert tickets.
19380635,2022-08-10,1500.0,USD,credit,Deposit of freelance project payment.
68735283,2022-04-15,125.67,USD,credit,Direct deposit from employer.
53360940,2023-01-20,5000.0,EUR,transfer,Transfer to Spanish bank account for property purchase.
96933937,2021-10-12,45.99,USD,debit,Gas station purchase.
54185546,2022-06-05,2000.0,USD,credit,Refund from online retailer.
14107878,2023-02-18,150.0,GBP,transfer,Transfer to UK account for tuition payment.
23301053,2022-08-27,110.25,USD,debit,Coffee shop purchase.
